Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_A8,Q31,time
1,4,2,4,3,1,2,6,6,5,5,6,5,6,0,7,8
1,5,2,4,1,3,4,5,4,7,6,7,6,5,0,7,55
1,5,1,2,2,3,3,5,7,7,6,6,6,6,0,7,8
1,4,2,4,2,1,2,5,5,6,6,4,5,5,0,7,8
1,4,2,4,2,1,2,5,3,5,6,5,5,5,0,7,8
1,4,2,4,2,2,2,7,3,6,6,4,5,5,0,7,9
1,4,1,4,2,2,2,6,3,6,6,6,5,6,0,7,9
1,4,1,4,2,1,2,8,5,6,7,4,5,5,1,7,9
1,4,1,4,2,2,2,4,5,6,7,5,6,7,1,7,8
1,4,2,4,2,1,2,6,3,6,6,6,6,6,0,7,9
1,4,2,4,2,1,2,5,4,5,5,4,6,7,0,7,10
1,4,2,4,2,1,2,4,5,5,6,6,6,5,0,7,10
1,4,2,4,2,1,2,6,4,6,5,5,6,7,1,7,10
1,4,1,4,2,2,2,3,7,5,6,4,6,6,0,7,10
1,4,1,4,2,1,2,6,4,5,5,5,4,4,0,7,10
1,4,1,4,2,2,2,10,3,4,6,4,5,6,0,7,10
1,4,2,4,2,1,2,5,5,6,5,4,4,6,0,7,10
1,4,2,2,2,2,2,4,7,5,6,4,5,5,0,7,10
1,4,1,4,2,1,2,5,3,6,6,6,7,8,0,7,9
1,4,2,1,2,2,2,9,5,6,6,6,6,7,0,7,10
1,4,1,4,2,1,2,6,6,5,6,7,4,6,0,7,11
1,4,2,4,2,2,2,5,7,6,6,4,5,4,0,7,10
1,4,2,4,2,1,2,6,7,6,6,6,5,7,0,7,11
1,4,2,4,2,1,2,8,5,6,6,6,6,6,0,7,10
1,4,2,4,2,1,2,5,5,5,6,4,4,6,0,7,10
1,4,2,4,2,1,2,5,5,5,6,6,4,5,0,7,11
1,4,2,4,2,1,2,6,5,6,7,6,5,4,1,7,11
1,4,2,4,2,1,2,5,4,5,5,5,5,6,0,7,11
1,4,2,4,2,2,2,4,7,6,5,5,5,7,0,7,11
1,4,2,4,2,1,2,9,3,5,6,5,5,5,0,7,11
1,4,2,4,2,1,2,6,5,6,7,6,5,6,1,7,11
1,4,1,4,2,2,2,6,5,5,5,5,4,4,0,7,11
1,4,2,4,2,1,2,7,5,6,6,6,5,6,0,7,12
1,4,2,4,2,1,2,4,5,6,5,5,4,4,0,7,10
1,4,2,4,2,1,2,7,5,6,5,6,5,4,0,7,12
1,4,2,4,2,1,2,3,3,6,6,5,5,5,0,7,12
1,4,2,4,2,1,2,7,5,6,7,4,6,5,0,7,12
1,4,2,4,2,2,2,5,3,6,6,4,6,4,0,7,11
